195 Total Stars
55 x 80 y
['crew anamoly', 'malfunction', 'collision']
Orion
B1485O
         216302 function calls (216210 primitive calls) in 2.100 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:415(cache_from_source)
     10/1    0.000    0.000    0.193    0.193 <frozen importlib._bootstrap>:1559(_find_and_load)
       51    0.000    0.000    0.000    0.000 {built-in method hasattr}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:201(acquire)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:226(release)
      5/1    0.000    0.000    0.192    0.192 <frozen importlib._bootstrap>:536(module_for_loader_wrapper)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:761(_search_registry)
     26/1    0.000    0.000    0.192    0.192 <frozen importlib._bootstrap>:581(_check_name_wrapper)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:796(is_package)
        1    0.000    0.000    0.001    0.001 csv.py:4(<module>)
        1    0.000    0.000    0.004    0.004 hashlib.py:53(<module>)
       20    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
       75    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
       74    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:61(_r_long)
        1    0.000    0.000    0.036    0.036 galaxy.py:7(<module>)
        1    0.000    0.000    0.000    0.000 sre_parse.py:431(_parse)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:181(__init__)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1455(__enter__)
        1    0.000    0.000    0.005    0.005 lynn_custom.py:12(<module>)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:754(_open_registry)
       15    0.000    0.000    0.002    0.000 galaxy.py:473(few)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:34(_relax_case)
        5    0.000    0.000    0.011    0.002 <frozen importlib._bootstrap>:496(set_package_wrapper)
      5/1    0.000    0.000    0.192    0.192 <frozen importlib._bootstrap>:1019(load_module)
        1    0.000    0.000    2.100    2.100 startup.py:2(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method register_dialect}
       10    0.000    0.000    0.000    0.000 {built-in method is_builtin}
       16    0.000    0.000    0.000    0.000 {built-in method charmap_encode}
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1261(_path_importer_cache)
      6/1    0.000    0.000    2.100    2.100 {built-in method exec}
       12    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       16    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
      3/2    0.000    0.000    0.000    0.000 sre_parse.py:142(getwidth)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1459(__exit__)
       41    0.000    0.000    0.000    0.000 {built-in method isinstance}
        1    0.000    0.000    0.043    0.043 galaxy.py:486(__init__)
        5    0.000    0.000    0.011    0.002 <frozen importlib._bootstrap>:509(set_loader_wrapper)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:98(_path_is_mode_type)
        1    0.000    0.000    0.115    0.115 <frozen importlib._bootstrap>:1057(set_data)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
     11/2    0.000    0.000    0.075    0.037 <frozen importlib._bootstrap>:305(_call_with_frames_removed)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:45(_w_long)
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
        4    0.000    0.000    0.008    0.002 <frozen importlib._bootstrap>:593(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x00000000026A1268}
       17    0.000    0.000    0.001    0.000 lynn_custom.py:98(median)
        1    0.000    0.000    0.001    0.001 sre_compile.py:489(compile)
      2/1    0.000    0.000    0.000    0.000 sre_compile.py:33(_compile)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:643(find_module)
      5/1    0.000    0.000    0.192    0.192 <frozen importlib._bootstrap>:997(load_module)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1041(path_stats)
        6    0.000    0.000    0.013    0.002 <frozen importlib._bootstrap>:1305(find_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1013(__init__)
        4    0.000    0.000    0.008    0.002 <frozen importlib._bootstrap>:654(load_module)
        1    0.000    0.000    0.000    0.000 sre_parse.py:738(parse)
        5    0.000    0.000    0.000    0.000 sre_parse.py:185(__next)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:108(_path_isfile)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1126(load_module)
       38    0.000    0.000    0.000    0.000 {built-in method release_lock}
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 sre_compile.py:365(_compile_info)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:776(find_module)
       10    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        6    0.000    0.000    0.000    0.000 sre_parse.py:132(__getitem__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:700(find_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1144(is_package)
       28    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1596(_handle_fromlist)
        1    0.000    0.000    0.115    0.115 <frozen importlib._bootstrap>:1046(_cache_bytecode)
        1    0.000    0.000    0.000    0.000 csv.py:79(DictReader)
       21    0.000    0.000    0.000    0.000 {built-in method getattr}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(get_filename)
       28    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
        1    0.000    0.000    0.000    0.000 {built-in method urandom}
        1    0.000    0.000    0.000    0.000 galaxy.py:130(system_gen)
        1    0.000    0.000    0.000    0.000 galaxy.py:289(constellation_gen)
        1    0.000    0.000    0.000    0.000 sre_compile.py:358(_simple)
       20    0.000    0.000    0.000    0.000 {built-in method get_ident}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:280(cb)
        6    0.000    0.000    0.000    0.000 {built-in method is_frozen}
        1    0.000    0.000    0.000    0.000 sre_parse.py:180(__init__)
        1    0.000    0.000    0.000    0.000 galaxy.py:199(events_gen)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {built-in method exp}
        1    0.000    0.000    0.000    0.000 galaxy.py:34(element_gen)
        2    0.000    0.000    0.000    0.000 galaxy.py:478(many)
